SMP	Time
1	4.74
1	20.23
1	22.21
1	26.02
1	35.09
1	37.34
1	58.04
1	59.71
1	67.67
1	72.89
1	74.16
1	85.683
1	94.59
1	112.38
1	124.13
1	124.84
1	129.14
1	135.98
1	141.93
1	146.52
1	163.07
1	201.48
1	215.1
1	239.87
1	244.75
1	244.97
1	260.63
1	268.35
1	292.9
1	300.76
1	380.19
2	5.21
2	14.49
2	42.31
2	54.52
2	59.09
2	66.09
2	74.99
2	119.27
2	127.47
2	146.48
2	172.77
2	190.21
2	203.52
2	223.37
2	252.64
2	265.52
2	284.06
2	312.68
2	322.67
2	333.7
2	348.48
2	411.39
2	434.76
3	2.99
3	36.72
3	47.54
3	87.11
3	94.82
3	116.97
3	128.36
3	129.4
3	139.33
3	145.92
3	146.83
3	172.27
3	198.52
3	233.19
3	240.46
3	249.28
3	258.04
3	268.39
3	286.56
3	365.35
3	373.33
3	380.91
3	381.11
4	42.26
4	45.46
4	55.27
4	80.06
4	87.56
4	111.32
4	144.79
4	164.18
4	214.58
4	243.81
4	260.25
4	283.78
4	317.26
4	322.27
4	338.86
4	346.07
4	356.86
4	397.68
4	422.27
4	425.41
4	440.49
5	9.48
5	67.27
5	76.12
5	90.91
5	105.43
5	147.54
5	173.73
5	175.84
5	179.46
5	185.45
5	195.94
5	200.14
5	207.4
5	208.35
5	208.54
5	241.41
5	340.28
5	359.49
5	360.95
5	383.89
5	390.13
5	396.31
5	423.98
6	2.92
6	15.12
6	21.37
6	37.946
6	50.1
6	50.82
6	57.63
6	58.12
6	87.22
6	90.7
6	100.21
6	104.66
6	127.41
6	156.67
6	157.65
6	169.65
6	211.26
6	213.83
6	239.47
6	244.72
6	253.85
6	256.67
6	261.12
6	273.67
6	281.09
6	285.91
6	288.59
6	302.28
6	306.79
6	307.83
6	326.1
6	373.31
6	435.77
7	17.71
7	37.58
7	41.11
7	102.74
7	107.18
7	107.95
7	109.81
7	110.64
7	116.22
7	163.64
7	193.91
7	231.12
7	234.5
7	256.82
7	274.48
7	276.68
7	281.12
7	287.11
7	297.6
7	298.25
7	299.85
7	306.84
7	314.7
7	317.1
7	326.65
7	356.16
7	376.71
7	407.81
7	414.18
7	450.93
8	2.31
8	5.33
8	5.55
8	23.25
8	24.81
8	24.99
8	35.43
8	71.04
8	86.81
8	89.35
8	102.83
8	103.07
8	119.92
8	139.11
8	156.55
8	157.97
8	187.32
8	270.21
8	296.37
8	316.14
8	348.45
8	355.55
8	360.17
8	374.29
8	391.85
8	408.31
8	413.17
8	445.63
9	14.04
9	16.76
9	18.92
9	25
9	27.91
9	54.41
9	63.05
9	101.81
9	151.78
9	160.52
9	165.67
9	176.95
9	192.48
9	230.24
9	231.88
9	248.37
9	254
9	255.23
9	257.66
9	275.18
9	275.24
9	303.78
9	434.53
9	442.76
10	6.33
10	7.51
10	23.24
10	26.07
10	32.82
10	35.14
10	39.69
10	57.55
10	69.03
10	72.9
10	84.5
10	87.87
10	96.38
10	101
10	213.18
10	213.32
10	251.67
10	287.73
10	376.82
10	423.34
11	5.07
11	22.55
11	63.93
11	92.42
11	98.19
11	123.51
11	132.63
11	133.14
11	139.87
11	171.51
11	190.23
11	205.25
11	245.36
11	280.36
11	285.87
11	311.83
11	315.17
11	325.4
11	362.05
11	365.85
11	381.39
11	386.24
11	389.76
11	393.3
11	417.56
11	428.36
11	430.87
11	440.46
12	3.47
12	14.16
12	15.91
12	31.63
12	55.77
12	62.6
12	83.49
12	101.45
12	122.86
12	158.42
12	166.82
12	172.6
12	219.55
12	231.88
12	249.27
12	255.38
12	264.73
12	271.39
12	282.75
12	310.56
12	311.98
12	313.81
12	328.48
12	331.01
12	340.3
12	418.31
12	427.03
12	432.79
12	451.31
13	12.46
13	14.59
13	14.89
13	23.88
13	28.15
13	37.28
13	44.56
13	102.92
13	152.57
13	163.76
13	171.65
13	250.9
13	280.22
13	296.61
13	319.93
13	324.62
13	326.32
13	366.95
13	372.64
13	390.26
13	394.24
13	394.64
13	445.71
14	0.39
14	4.96
14	12.92
14	22.91
14	25.58
14	31.11
14	41.56
14	48.02
14	69.3
14	74.77
14	87
14	119.82
14	123.04
14	127.75
14	135.46
14	141.75
14	145.28
14	163.28
14	163.97
14	172.67
14	194.2
14	211.92
14	231.63
14	234.31
14	283.38
14	310.9
14	326.992
14	367.59
14	416.13
15	16.08
15	24.63
15	25.87
15	36.24
15	52.79
15	65.81
15	78.15
15	81.19
15	82.27
15	95.89
15	120.91
15	136.7
15	140.67
15	173.57
15	185.39
15	203.04
15	208.16
15	238.6
15	264.6
15	297.6
15	302.32
15	320.78
15	341.65
15	418.53
16	3.15
16	4.78
16	7.45
16	7.74
16	25.81
16	32.4
16	83.79
16	129.46
16	140.23
16	166.38
16	211.81
16	214.92
16	221.02
16	221.61
16	222.67
16	225.72
16	246.59
16	281.5
16	295.78
16	298.47
16	302.15
16	309.2
16	319.26
16	333.64
16	342.92
16	346.7
16	380.06
16	388.85
16	399.2
17	0.7
17	6.03
17	7.24
17	13.54
17	18
17	36.71
17	43.81
17	55.61
17	57.56
17	77.43
